iteration,MAE
0,0.24093567118775863
1,0.09821696609685045
2,0.0005968819457683667
3,1.3594275868848858e-05
4,2.5622846648326388e-05
5,0.12133792333570106
6,1.8472850151977966e-05
7,0.24211067479363757
8,0.11800729852534421
9,0.0001520717085449794
10,0.22668723367192295
11,0.00010417789195077274
12,0.11766399702324275
13,2.3280070003536927e-05
14,1.966861984315155e-05
15,0.10953838601517926
16,0.11776769137357054
17,0.10752462570693548
18,0.1161459280210544
19,0.11797800393221079
