iteration,MAE
0,1.3794879845416275e-05
1,0.17021436827774933
2,0.17677848259450013
3,0.17665723518268953
4,2.668971952682342e-06
5,3.594727094878569e-05
6,3.716234677562935e-06
7,0.16525724797889402
8,0.17467016360795679
9,1.4207269831978397e-06
10,0.16499335994608733
11,0.17397670229539908
12,0.174596176642892
13,3.2914940633968492e-06
14,1.2950135039747901e-05
15,2.4264673033763673e-06
16,0.17598261707391488
17,3.0391847238082914e-05
18,1.7513311051833846e-05
19,0.160393012956851
