iteration,MAE
0,3.810158529504726e-06
1,6.442428962871727e-05
2,0.14044892257632893
3,2.0660087748480825e-06
4,1.7931306876034504e-05
5,4.0048416394555805e-05
6,1.0154124854694357e-05
7,6.124305225174709e-07
8,1.935445715616213e-05
9,1.8843563933562678e-05
10,0.14003498090264438
11,0.14109009262693484
12,0.1414067732445921
13,0.14083514713092377
14,0.14049924190932303
15,0.00012965941597456454
16,0.13873673760953803
17,3.063051764921609e-05
18,0.13937845013386152
19,0.14145868466177827
