iteration,MAE
0,1.794700393669012e-05
1,4.864418234600758e-06
2,1.777962517107095e-05
3,2.8551469294449098e-05
4,0.00010490417712538669
5,5.264959669182279e-06
6,2.3808297093326953e-05
7,1.83795316443648e-05
8,5.390989318306468e-06
9,0.00015181720619324003
10,1.3563147077961308e-05
11,7.030673509776807e-05
12,9.423129387939013e-05
13,1.4129779639882045e-05
14,9.675130224527804e-06
15,3.570330679695625e-06
16,5.596786887649172e-05
17,1.4764576177217492e-06
18,3.35352282133229e-05
19,5.215450284401513e-05
