iteration,MAE
0,0.00015506704586983056
1,2.9894852590868493e-05
2,3.945279366174281e-06
3,3.976886103700117e-06
4,4.437145406356591e-06
5,1.4827155751497012e-05
6,3.601021063301402e-05
7,2.2616722274798606e-05
8,2.424950805807874e-05
9,1.0304637248471915e-05
10,3.0999325669196776e-05
11,8.495731754240218e-05
12,0.00016617410825099654
13,2.9513164321870455e-05
14,1.089884059221613e-05
15,3.8306384320188624e-05
16,6.955165964429855e-05
17,4.2309150892302916e-05
18,6.392943599543843e-05
19,5.145939555452339e-05
