iteration,MAE
0,9.199883190813551e-06
1,2.9778235406295133e-05
2,6.181793857697644e-05
3,7.121957406943287e-05
4,1.8827634833009272e-05
5,2.4128041966720026e-05
6,9.519305963433718e-05
7,5.234080661370433e-05
8,2.403090803249075e-05
9,6.0961486719746105e-06
10,5.253237617769413e-06
11,2.826025383984021e-07
12,9.202885755001574e-06
13,0.00010212070208076574
14,3.856266702309541e-06
15,5.9959092324581485e-05
16,1.2577919877333754e-07
17,6.107650167374208e-05
18,0.0001067927049306916
19,2.248407587585044e-06
