iteration,MAE
0,2.9850239832059553e-06
1,0.11780217373132208
2,0.11589531412888789
3,0.1134148484590054
4,0.11724355565259759
5,2.1872969436370626e-06
6,0.1178251591971022
7,4.360427346213521e-05
8,5.571378605432701e-05
9,0.11651558078477196
10,0.11616655911909564
11,7.398102951436392e-05
12,0.11312899297374712
13,0.1176946544464673
14,0.1178142936797925
15,1.0001871595476572e-05
16,0.1176050113714716
17,4.5061653607218295e-06
18,3.7738132847339734e-05
19,1.532929367722054e-05
