iteration,MAE
0,2.0033011453449408e-05
1,6.303872781303217e-05
2,2.9725096339866024e-06
3,2.592984698210091e-06
4,1.4472112375021126e-05
5,1.3507987448914026e-05
6,3.7835155833443324e-05
7,2.7699634592199214e-06
8,3.0811476399252655e-05
9,2.6605726398928633e-06
10,0.00010311375567817975
11,1.459306111429758e-05
12,5.2207647655697833e-05
13,3.321715964970712e-05
14,1.6274265294047296e-05
15,4.211067951172896e-05
16,9.981092376020033e-05
17,3.5898533539151107e-05
18,3.789626280796417e-06
19,1.7674317125611477e-05
