# CSV-File created with merge-csv.com
# -----------------------------------------------------------

iteration,MAE
0,0.5000000000000036
1,0.5
2,0.5000000000000018
3,0.5
4,0.5
5,0.5
6,0.5000000000000036
7,0.5000000000000018
8,0.0
9,0.5
10,0.5
11,0.0
12,0.5
13,0.5
14,0.5
15,0.5
16,0.5000000000000036
17,0.5
18,0.5000000000000036
19,0.5
0,0.4
1,0.4
2,0.4
3,0.40000000000000285
4,0.40000000000000285
5,0.4
6,0.4000000000000014
7,0.4
8,0.4
9,0.40000000000000285
10,0.40000000000000285
11,0.4
12,0.4
13,0.4
14,0.40000000000000285
15,0.4
16,0.4000000000000014
17,0.4000000000000057
18,0.40000000000000285
19,0.4
0,0.3333333333333333
1,0.3333333333333381
2,0.3333333333333333
3,0.3333333333333381
4,0.3333333333333333
5,0.3333333333333333
6,0.3333333333333333
7,0.3333333333333333
8,0.3333333333333333
9,0.3333333333333333
10,0.3333333333333333
11,0.3333333333333333
12,0.3333333333333333
13,0.3333333333333333
14,0.3333333333333357
15,0.3333333333333357
16,0.3333333333333333
17,0.3333333333333357
18,0.3333333333333357
19,0.3333333333333333
0,0.2857142857142857
1,0.2857142857142857
2,0.28571428571428975
3,0.2857142857142857
4,0.28571428571428975
5,0.2857142857142857
6,0.28571428571428975
7,0.2857142857142857
8,0.2857142857142857
9,0.28571428571428975
10,0.28571428571428975
11,0.2857142857142857
12,0.28571428571428975
13,0.2857142857142857
14,0.28571428571428775
15,0.2857142857142857
16,0.28571428571428775
17,0.28571428571428975
18,0.28571428571428775
19,0.2857142857142857
0,0.25000000000000355
1,0.25
2,0.25
3,0.2500000000000018
4,0.25
5,0.25000000000000355
6,0.25
7,0.2500000000000018
8,0.2500000000000018
9,0.25000000000000355
10,0.25
11,0.25000000000000355
12,0.25000000000000355
13,0.25000000000000355
14,0.25
15,0.25
16,0.25
17,0.25
18,0.25
19,0.25
0,0.2222222222222222
1,0.2222222222222222
2,0.2222222222222222
3,0.22222222222222537
4,0.2222222222222238
5,0.2222222222222222
6,0.22222222222222537
7,0.2222222222222222
8,0.2222222222222222
9,0.22222222222222537
10,0.2222222222222222
11,0.2222222222222222
12,0.22222222222222537
13,0.2222222222222222
14,0.2222222222222238
15,0.22222222222222537
16,0.2222222222222238
17,0.22222222222222537
18,0.2222222222222222
19,0.2222222222222222
0,0.2
1,0.2
2,0.2
3,0.2
4,0.2
5,0.2
6,0.2
7,0.20000000000000143
8,0.2
9,0.20000000000000284
10,0.2
11,0.2
12,0.20000000000000143
13,0.20000000000000284
14,0.20000000000000284
15,0.2
16,0.20000000000000284
17,0.2
18,0.20000000000000143
19,0.2
0,0.1818181818181844
1,0.18181818181818182
2,0.1818181818181844
3,0.1818181818181844
4,0.18181818181818182
5,0.18181818181818182
6,0.1818181818181844
7,0.18181818181818182
8,0.18181818181818182
9,0.18181818181818182
10,0.18181818181818182
11,0.18181818181818182
12,0.18181818181818182
13,0.18181818181818182
