iteration,MAE
0,2.5999486227085145e-05
1,5.200525045061839e-06
2,0.00010543502126852162
3,0.00020708652644906605
4,6.095959626845853e-07
5,6.599167252829037e-05
6,5.163446627487467e-07
7,6.983133810962399e-07
8,5.833317493565891e-07
9,5.756580943214581e-05
10,3.717152865555835e-05
11,2.5127109784346085e-05
12,5.132861414050164e-05
13,4.786304873946204e-06
14,1.2237085582860502e-06
15,6.663464200055782e-05
16,1.6127162333306228e-05
17,7.80931026016507e-05
18,6.766204283922431e-07
19,3.5857993456939976e-05
