iteration,MAE
0,3.549331285783904e-05
1,2.132825101900752e-05
2,1.3026506715298666e-05
3,2.1405237795433612e-05
4,6.751038691836057e-06
5,1.240291042338415e-05
6,9.329600092806052e-05
7,3.5529899134819264e-05
8,1.928884535070304e-05
9,3.318778935972969e-05
10,2.8324954911789397e-05
11,1.5735306799394277e-05
12,0.0001153328957459639
13,2.4716458180173057e-05
14,1.5607708432864114e-05
15,1.9460899144026673e-05
16,1.4080885376683653e-05
17,1.026200848720793e-05
18,1.1455185851517538e-05
19,1.54599310136135e-06
